open goals,0
Nodes,260
Branches,8
Interactive steps,0
Symbolic execution steps,20
Automode time,720ms
Avg. time per step,2.779ms
Rule applications
Quantifier instantiations,0
One-step Simplifier apps,40
SMT solver apps,0
Dependency Contract apps,0
Operation Contract apps,1
Block/Loop Contract apps,0
Loop invariant apps,0
Merge Rule apps,0
Total rule apps,823
