open goals,0
Nodes,232
Branches,10
Interactive steps,0
Symbolic execution steps,21
Automode time,605ms
Avg. time per step,2.619ms
Rule applications
Quantifier instantiations,0
One-step Simplifier apps,37
SMT solver apps,0
Dependency Contract apps,0
Operation Contract apps,0
Block/Loop Contract apps,0
Loop invariant apps,0
Merge Rule apps,0
Total rule apps,473
